"ID","NAME","DISP_ORDER"
"1","要件定義","0"
"2","基本（外部）設計","1"
"3","詳細設計","2"
"4","製造（Make/UT）","3"
"5","結合テスト","4"
"6","システムテスト","5"
"7","保守・運用","6"
"8","調査・分析","7"
